Proyeksi Neraca Beras Provinsi Kalimantan Utara Tahun 2025,,,
,,,
Wilayah,Kabupaten Nunukan,,
Komoditas,Beras,,
Tahun,2025,,
Satuan Harga,KG,,
,,,
,,,
Bulan,Ketersediaan (Ton),Kebutuhan (Ton),Neraca (Ton)
,Total Ketersediaan,Total Kebutuhan,
Jan-25,"13,885","5,495","8,390"
Feb-25,"14,672","4,974","9,698"
Mar-25,"14,786","5,744","9,042"
Apr-25,"15,092","5,318","9,774"
May-25,"15,399","5,495","9,904"
Jun-25,"14,723","5,323","9,400"
Jul-25,"14,292","5,495","8,797"
Aug-25,"13,075","5,495","7,580"
Sep-25,"13,272","5,318","7,954"
Oct-25,"13,227","5,495","7,732"
Nov-25,"13,684","5,318","8,366"
Dec-25,"15,874","5,501","10,373"